scope,horizon_month,n_forecasts,mae,mape,bias,p80_coverage,p90_coverage,mean_p80_width,mean_p80_relative_width
All,0,123,85990.39926321994,0.010720881066961596,-2003.11322305247,0.8455284552845529,0.9105691056910569,295960.37465650716,0.03747894999399759
1,1,23,43517.856995893846,0.00537333536322313,9604.564273342612,0.8260869565217391,0.8695652173913043,134467.40922269627,0.017538303787392684
2,2,22,60370.963298910174,0.0075650757070370896,7713.975027987776,0.8181818181818182,0.8636363636363636,185988.7220450068,0.024259277394167087
3,3,21,86566.4532473796,0.010850649985826133,1801.7724355288915,0.7619047619047619,0.9047619047619048,253320.91996557187,0.03255869534051669
4,4,20,101361.43384011905,0.01271799575995082,-7165.985005817143,0.85,0.95,337010.99709748925,0.04268929715946342
5,5,19,116151.48118951559,0.014449543813293868,-12381.656548150815,0.8947368421052632,0.9473684210526315,416262.4471215622,0.05218237999639397
6,6,18,121985.8260164623,0.015104727498521089,-16458.96677516463,0.9444444444444444,0.9444444444444444,513871.0016167632,0.06354677745602179
